id,component_type,last_synced_at,source_file_version,status
1,Version,2024-09-19 12:36:26.714815+00:00,v0.0.0,complete
2,Cycle,2024-09-19 12:36:26.976390+00:00,v0.0.0,complete
3,Group,2024-09-19 12:36:27.173221+00:00,v0.0.0,complete
4,Dataset,2024-09-19 12:36:31.111960+00:00,v0.0.0,complete
5,Variable,2024-09-19 12:36:33.656901+00:00,v0.0.0,complete
6,DatasetCycle,2024-09-19 12:37:37.107266+00:00,v0.0.0,complete
7,VariableCycle,2024-09-19 12:37:11.428567+00:00,v0.0.0,complete
8,Rule,2024-09-19 12:37:37.329914+00:00,v0.0.0,complete
9,RuleVariable,2024-09-19 12:37:37.547859+00:00,v0.0.0,complete
10,QueryColumns,2024-09-19 12:37:37.760263+00:00,v0.0.0,complete
11,Tag,2024-09-19 12:36:31.313537+00:00,nan,complete
12,VariableTag,2024-09-19 12:36:26.481746+00:00,nan,pending
