Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout frequency,work_frequency,gate_duration,q0,q1
0,16.45,4,0.999,1.0,6.89825,4.983,30,0.988613333333334,0.855692
1,25,3,0.999,1.0,6.771,5.13,30,0.958666666666666,0.9078
2,41.4423597939825,4.83465696981592,0.999,1.0,6.84563,4.853,30,0.9318,0.843066666666667
3,57.5636565415317,4.23916628776298,0.999,1.0,6.8101,5.094,30,0.984466666666667,0.9176
4,40.1023563877051,2.29877717869886,0.999,1.0,6.9212,5.015,30,0.981333333333333,0.936733333333333
5,41.4423597939825,4.83465696981592,0.999,1.0,6.78715,5.04258666666667,30,0.951222222222222,0.908533333333333
6,23.6018084879266,2.20334796722389,0.999,1.0,6.8626,4.906,30,0.928866666666667,0.833133333333333
7,28.9943268987737,5.69017520345066,0.999,1.0,6.82968,5.183,30,0.983466666666666,0.927733333333333
8,19.7599768769656,2.43759474711373,0.999,1.0,6.9446,5.07216333333333,30,0.989866666666667,0.928466666666667
9,26.8389624324964,3.41980392327232,0.999,1.0,6.8048,5.213,30,0.977373333333334,0.880758666666666
10,27.3082528490645,1.32461926239303,0.998,1.0,6.91931,4.886,30,0.954066666666667,0.894133333333333
